Start,Finish,Conflict,Victorious party,Defeated party
c. 3100 BC,c. 3100 BC,Narmer,"Upper Egypt, Narmer",Lower Egypt
c. 3100 BC,c. 3100 BC,Hor-Aha,Egypt,Nubia
c. 2650 BC,c. 2650 BC,Kish (Sumer),Kish (Sumer),Elam
c. 2600 BC,c. 2600 BC,Enmerkar,Uruk,Aratta
c. 2600 BC,c. 2600 BC,Sneferu,Fourth Dynasty of Egypt,"Nubia, Ancient Libya, Levant"
c. 2600 BC,c. 2600 BC,Enshakushanna,Uruk,"Hamazi, Akkad (city), Kish (Sumer), Nippur"
c. 2500 BC,c. 2500 BC,Eannatum,Lagash,"Ur, Uruk, Larsa, Nippur, Akshak, Umma"
c. 2500 BC,c. 2500 BC,Lugal-Anne-Mundu,Adab (city),Ur
c. 2450 BC,c. 2450 BC,En-anna-tum I,Lagash,Umma
c. 2400 BC,c. 2400 BC,Entemena,"Lagash, Uruk",Umma
c. 2294 or 2230 BC,c. 2270 or 2206 BC,Lugal-zage-si,Umma,"Kish (Sumer), Lagash, Ur, Lagash, Nippur, Larsa, Uruk"
c. 2334 BC,c. 2279 BC,Sargon of Akkad,"Akkad (city), Kish (Sumer)","Kish (Sumer), Lagash, Uruk, Umma, Ur, Kazallu"
c. 2270 BC,c. 2270 BC,Sargon of Akkad,Akkadian Empire,"Mari, Syria, Yarmuti (page does not exist), Ebla"
c. 2270 BC,c. 2270 BC,Sargon of Akkad,Akkadian Empire,"Elam, Susa, Marhasi"
c. 2230 BC,c. 2230 BC,Naram-Sin of Akkad,Akkadian Empire,Lullubi
c. 2220 BC,c. 2150 BC,Gutian people,Gutian people,Akkadian Empire
c. 2050 BC,c. 2050 BC,Gutian dynasty of Sumer,Uruk,Gutian dynasty of Sumer
c. 2040 BC,c. 2040 BC,Ur-Nammu,Neo-Sumerian Empire,Lagash
c. 2000 BC,c. 2000 BC,Third Dynasty of Ur,"Elam, Susa",Neo-Sumerian Empire
c. 1822 or 1758 BC,c. 1763 or 1699 BC,Rim-Sin I,Larsa,"Uruk, Isin, Der (Sumer), Babylon, Sutum (page does not exist), Rapiqum"
c. 1801 BC,c. 1770 BC,Eshnunna,Elam,Eshnunna
c. 1770 BC,c. 1760 BC,Hammurabi,"Babylon, Larsa, Yamhad, Mari, Syria","Elam, Larsa, Mari, Syria, Assyria"
c. 1770 BC,c. 1763 BC,Hammurabi,"Babylon, Larsa",Elam
c. 1763 BC,c. 1763 BC,Hammurabi,"Babylon, Yamhad, Mari, Syria",Larsa
c. 1760 BC,c. 1760 BC,Hammurabi,Babylon,"Mari, Syria"
c. 1760 BC,c. 1760 BC,Hammurabi,Babylon,Assyria
c. 1740 BC,c. 1595 BC,Babylonia,"Hittite Empire, Kassites, Puzur-Sin, Assyria, Sealand Dynasty","Babylon, Amorites"
c. 1740 BC,c. 1570 BC,Kassites,Kassites,Babylon
c. 1732 BC,c. 1732 BC,Puzur-Sin,"Puzur-Sin, Assyria","Amorites, Babylon"
c. 1732 BC,c. 1726 or 1720 BC,Assyria,Adasi (Assyria),"Puzur-Sin, Ashur-apla-idi, Nasir-Sin, Sin-namir, Ipqi-Ishtar, Adad-salulu, Amorites, Babylon"
c. 1732 BC,c. 1732 BC,Sealand Dynasty,Sealand Dynasty,Babylon
c. 1700 BC,c. 1700 BC,Abi-Eshuh,Sealand Dynasty,Babylon
c. 1675 BC,c. 1675 BC,Battle of Mingtiao,Shang Dynasty,Xia Dynasty
c. 1595 BC,c. 1595 BC,Babylonia,Hittite Empire,Babylon
c. 1650 BC,c. 1620 BC,Hattusili I,Hittite Empire,"Alalakh, Arzawa, Hurrians"
c. 1650 BC,c. 1580 BC,Hyksos,Hyksos,Ancient Egypt
c. 1600 BC,c. 1595 BC,Mursili I,Hittite Empire,"Yamhad, Babylon"
c. 1523 BC,c. 1517 BC,Ahmose I,Eighteenth Dynasty of Egypt,Hyksos
c. 1506 BC,c. 1502 BC,Thutmose I,Egyptian Empire,Nubia
c. 1493 BC,before c. 1479 BC,Thutmose II,Egyptian Empire,"Nubia, Shasu"
c. 1457 BC,c. 1428 BC,Thutmose III,Egyptian Empire,
c. 1457 BC,c. 1456 BC,Battle of Megiddo (15th century BC),Egyptian Empire,"Canaan, Kadesh (Syria), Tel Megiddo, Mitanni"
c. 1456 BC,c. 1455 BC,Thutmose III,Egyptian Empire,"Canaan, Retjenu"
c. 1455 BC,c. 1454 BC,Thutmose III,Egyptian Empire,"Canaan, Retjenu"
c. 1454 BC,c. 1453 BC,Thutmose III,Egyptian Empire,"Canaan, Retjenu"
c. 1450 BC,c. 1449 BC,Thutmose III,Egyptian Empire,"Canaan, Retjenu, Kadesh (Syria), Tunip, Phoenicia"
c. 1449 BC,c. 1448 BC,Thutmose III,Egyptian Empire,"Byblos, Retjenu, Kadesh (Syria)"
c. 1448 BC,c. 1447 BC,Thutmose III,Egyptian Empire,"Retjenu, Phoenicia"
c. 1447 BC,c. 1446 BC,Thutmose III,Egyptian Empire,Mitanni
c. 1445 BC,c. 1444 BC,Thutmose III,Egyptian Empire,Nuhašše
c. 1444 BC,c. 1443 BC,Thutmose III,Egyptian Empire,Mitanni
c. 1443 BC,c. 1442 BC,Thutmose III,Egyptian Empire,
c. 1442 BC,c. 1441 BC,Thutmose III,Egyptian Empire,
c. 1441 BC,c. 1440 BC,Thutmose III,Egyptian Empire,Nuhašše
c. 1440 BC,c. 1439 BC,Thutmose III,Egyptian Empire,Shasu
